year,month,rides,passengers,distance,cost,YM,rides_z,cost_z
2022,2,2976934,4104453,17423046.88,58030540.69999943,2022-02-01,-1.5491665938852954,-1.5718997921323
2022,3,3625227,4989690,20887010.970000003,74644570.6199995,2022-03-01,-1.4085765199133833,-1.2814063137427607
2022,4,3592194,5029642,20373907.2,76104511.5199996,2022-04-01,-1.415740120189052,-1.2558794962080428
2022,5,3572965,4928884,24551156.18,78913854.43999974,2022-05-01,-1.4199101583236702,-1.2067586145947597
2022,6,3554225,4919752,21217229.64,78605976.1899997,2022-06-01,-1.4239741509724164,-1.2121418132644173
2022,7,3166543,4481024,18387319.900000002,67878672.23999931,2022-07-01,-1.5080476193849688,-1.399706892488582
2022,8,3149722,4442967,18003696.45,67868469.2199993,2022-08-01,-1.5116954539817968,-1.3998852905523964
2022,9,3178630,4361337,22613576.240000002,72026859.00999942,2022-09-01,-1.5054264091851077,-1.327176554597702
2022,10,3659714,5015639,22762380.900000002,81461854.30999988,2022-10-01,-1.401097602385245,-1.162207271619182
2022,11,3247837,4476171,20624179.400000002,71678612.0899994,2022-11-01,-1.4904180452981397,-1.3332655925744223
