,fec_id,name,state,district,party,office,incumbent_challenge,candidate_status,party_simple,key,bioguide_id,twitter_name,twitter_id,twitter_status_tweet,twitter_status_name,twitter_status_id
2221,H2OH05070,"HEBERLING, MARTIN MATHIAS MR. III",OH,5,DEMOCRATIC PARTY,House,Challenger,C,Democrat,martin  heberling,,heberling3,1560163981515440129,No tweets found.,,
2223,H2IL11165,"HEEG, ANDREA",IL,11,REPUBLICAN PARTY,House,Challenger,N,Republican,andrea  heeg,,andreaheeg,45965658,No tweets found.,,
2224,H2OH08082,"HEIMLICH, PHIL",OH,8,REPUBLICAN PARTY,House,Challenger,C,Republican,phil  heimlich,,philheimlich,47836428,,,
2226,H8UT03329,"HEINEMAN, AARON",UT,3,OTHER,House,Challenger,N,Other,aaron  heineman,,,,,,
2228,H0WA01140,"HEINES, MATTHEW",WA,1,REPUBLICAN PARTY,House,Challenger,N,Republican,matthew  heines,,Heinessight,77464545,,,
2229,H0WA01140,"HEINES, MATTHEW",WA,1,REPUBLICAN PARTY,House,Challenger,N,Republican,matthew  heines,,Heinessight2020,938155748302786560,No tweets found.,,
2230,H2AK00416,"HEINTZ, TED S.",AK,0,NONPARTISAN,House,Open seat,N,Other,ted  heintz,,,,,,
2231,H2IN09282,"HEIWIG, DANIEL",IN,9,REPUBLICAN PARTY,House,Open seat,C,Republican,daniel  heiwig,,Heiwig2022,,No tweets found.,Name not found.,
2233,H2WY00174,"HELLING, STEVE",WY,0,DEMOCRATIC PARTY,House,Challenger,N,Democrat,steve  helling,,,,,,
2234,H2IL17170,"HELMICK, CHARLIE MR.",IL,17,REPUBLICAN PARTY,House,Open seat,N,Republican,charlie  helmick,,CharlieHelmick,1090469162,,,
2236,H2NC09191,"HELMS, TERESA",NC,9,REPUBLICAN PARTY,House,Challenger,N,Republican,teresa  helms,,,,,,
2238,H2OH11250,"HEMPHILL, JAMES TERRELLE",OH,11,REPUBLICAN PARTY,House,Challenger,N,Republican,james  hemphill,,HemphillOh,1432165654837309442,,,
2239,H2NJ03274,"HENDLER, REUVEN",NJ,3,DEMOCRATIC PARTY,House,Challenger,N,Democrat,reuven  hendler,,Reuvenhendler,2663761242,,,
2241,H2MN06214,"HENDRICKS, JEANNE",MN,6,DEMOCRATIC-FARMER-LABOR,House,Challenger,P,Other,jeanne  hendricks,,,,,,
2243,H2TN08150,"HENDRY, ROBERT LOUIS MR.",TN,8,REPUBLICAN PARTY,House,Challenger,P,Republican,robert  hendry,,Bob_Hendry_4TN,,No tweets found.,Name not found.,
2244,H2CA22199,"HENG, ELIZABETH",CA,22,REPUBLICAN PARTY,House,Challenger,P,Republican,elizabeth  heng,,ElizabethHeng,935580000312426497,,,
2247,H2VA10232,"HENLEY, JOHN ALLEN",VA,10,REPUBLICAN PARTY,House,Challenger,C,Republican,john  henley,,JohnHenleyVA,,No tweets found.,Name not found.,
2249,H2TN08200,"HENLEY, RONNIE",TN,8,INDEPENDENT,House,Challenger,N,Other,ronnie  henley,,henley215,902661872121372672,,,
2250,H2KY02141,"HENNING, CHRISTOPHER LEE MR.",KY,2,REPUBLICAN PARTY,House,Challenger,P,Republican,christopher  henning,,,,,,
2251,H2WA03134,"HENNRICH, BRENT WILLIAM",WA,3,DEMOCRATIC PARTY,House,Challenger,N,Democrat,brent  hennrich,,,,,,
2252,H2IN02311,"HENRY, WILLIAM E.",IN,2,LIBERTARIAN PARTY,House,Open seat,N,Other,william  henry,,,,,,
2253,H2FL13279,"HENSON, AUDREY",FL,13,REPUBLICAN PARTY,House,Open seat,P,Republican,audrey  henson,,,,,,
2254,H2WV02217,"HERCULES, RHONDA A",WV,2,REPUBLICAN PARTY,House,Challenger,N,Republican,rhonda  hercules,,RhondaHercules,,No tweets found.,Name not found.,
2257,H8OK01157,"HERN, KEVIN",OK,1,REPUBLICAN PARTY,House,Incumbent,C,Republican,kevin  hern,H001082,krhern,19168067,,,
2258,H8OK01157,"HERN, KEVIN",OK,1,REPUBLICAN PARTY,House,Incumbent,C,Republican,kevin  hern,H001082,repkevinhern,1067818539179024386,,,
2259,H2KS04149,"HERNANDEZ, BOB MR",KS,4,DEMOCRATIC PARTY,House,Challenger,P,Democrat,bob  hernandez,,,,,,
2261,H2AZ02345,"HERNANDEZ, DANIEL",AZ,6,DEMOCRATIC PARTY,House,Open seat,P,Democrat,daniel  hernandez,,danielforaz,13028602,,,
2262,H2NY14144,"HERNANDEZ, MIGUEL MR.",NY,14,REPUBLICAN PARTY,House,Challenger,N,Republican,miguel  hernandez,,,,,,
2263,H2CA18163,"HERNANDEZ, PETER",CA,18,REPUBLICAN PARTY,House,Challenger,N,Republican,peter  hernandez,,,,,,
2264,H8NM02156,"HERRELL, STELLA YVETTE",NM,2,REPUBLICAN PARTY,House,Challenger,N,Republican,stella  herrell,H001084,Yvette4congress,898787903609765890,,,
2266,H0WA03187,"HERRERA BEUTLER, JAIME",WA,3,REPUBLICAN PARTY,House,Incumbent,P,Republican,jaime  beutler,H001056,JaimeForUSRep,97963837,,,
2267,H0WA03187,"HERRERA BEUTLER, JAIME",WA,3,REPUBLICAN PARTY,House,Incumbent,P,Republican,jaime  beutler,H001056,HerreraBeutler,242926427,,,
2268,H2GA01249,"HERRING, WADE WILKES MR. II",GA,1,DEMOCRATIC PARTY,House,Challenger,P,Democrat,wade  herring,,wadeherringga1,,No tweets found.,Name not found.,
2270,H8UT03253,"HERROD, CHRISTOPHER NILES",UT,3,REPUBLICAN PARTY,House,Challenger,C,Republican,christopher  herrod,,,,,,
2271,H2IL04178,"HERSHEY, EDWARD",IL,4,OTHER,House,Challenger,N,Other,edward  hershey,,,,,,
2272,H2NC11197,"HESS, ROBERTO LUIS MR.",NC,11,DEMOCRATIC PARTY,House,Challenger,N,Democrat,roberto  hess,,bohessforus,1357412788063338505,,,
2274,H2MT01136,"HEUER, MITCH MR.",MT,1,REPUBLICAN PARTY,House,Open seat,C,Republican,mitch  heuer,,,,,,
2275,H2GA10265,"HEUSSNER, TODD",GA,10,REPUBLICAN PARTY,House,Open seat,C,Republican,todd  heussner,,,,,,
2276,H2MI02181,"HEWER, NATHAN",MI,2,LIBERTARIAN PARTY,House,Challenger,N,Other,nathan  hewer,,,,,,
2277,H2WA10063,"HEWETT, DON",WA,10,REPUBLICAN PARTY,House,Challenger,N,Republican,don  hewett,,,,,,
2278,H6AK00243,"HIBLER, WILLIAM D",AK,0,NONPARTISAN,House,Open seat,N,Other,william  hibler,,,,,,
2279,H0GA07125,"HICE, JODY",GA,10,REPUBLICAN PARTY,House,Incumbent,P,Republican,jody  hice,H001071,,,,,
2280,H0GA04122,"HICKS, ANTONIO CORTEZ",GA,4,DEMOCRATIC PARTY,House,Challenger,N,Democrat,antonio  hicks,,,,,,
2281,H4NY27076,"HIGGINS, BRIAN",NY,26,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,brian  higgins,H001038,Higgins4WNY,57334424,,,
2282,H4NY27076,"HIGGINS, BRIAN",NY,26,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,brian  higgins,H001038,repbrianhiggins,33576489,No tweets found.,,
2283,H4NY27076,"HIGGINS, BRIAN",NY,26,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,brian  higgins,H001038,RepBrianHiggins,33576489,,,
2285,H6LA03148,"HIGGINS, CLAY CAPTAIN",LA,3,REPUBLICAN PARTY,House,Incumbent,N,Republican,clay  higgins,H001077,CaptClayHiggins,1011053278304591872,,,
2286,H6LA03148,"HIGGINS, CLAY CAPTAIN",LA,3,REPUBLICAN PARTY,House,Incumbent,N,Republican,clay  higgins,H001077,RepClayHiggins,843636970538618880,,,
2287,H2FL27097,"HIGGINS, EILEEN",FL,27,DEMOCRATIC PARTY,House,Challenger,N,Democrat,eileen  higgins,,,,,,
2288,H2MO02078,"HIGGINS, JAMES",MO,8,LIBERTARIAN PARTY,House,Challenger,N,Other,james  higgins,,,,,,
2289,H2TX31150,"HILDNER, JONATHAN DAVID MR.",TX,31,DEMOCRATIC PARTY,House,Challenger,C,Democrat,jonathan  hildner,,,,,,
2290,H2FL04195,"HILL, ANTHONY TONY",FL,4,DEMOCRATIC PARTY,House,Challenger,P,Democrat,anthony  hill,,,,,,
2291,H2DE01039,"HILL, CHRISTOPHER BROOKS MR.",DE,0,REPUBLICAN PARTY,House,Challenger,N,Republican,christopher  hill,,,,,,
2292,H2MO03175,"HILL, DUSTIN ANTHONY",MO,3,REPUBLICAN PARTY,House,Challenger,P,Republican,dustin  hill,,,,,,
2293,H4AR02141,"HILL, JAMES FRENCH",AR,2,REPUBLICAN PARTY,House,Incumbent,N,Republican,james  hill,H001072,ElectFrench,1740229652,,,
2294,H4AR02141,"HILL, JAMES FRENCH",AR,2,REPUBLICAN PARTY,House,Incumbent,N,Republican,james  hill,H001072,RepFrenchHill,2953974395,,,
2296,H2SC04170,"HILL, KEN",SC,4,DEMOCRATIC PARTY,House,Challenger,N,Democrat,ken  hill,,,,,,
2298,H2WA05105,"HILL, NATASHA",WA,5,DEMOCRATIC PARTY,House,Challenger,P,Democrat,natasha  hill,,VoteNatashaHill,1439690167644672000,,,
2299,H2CA25234,"HILL, STEVE",CA,25,DEMOCRATIC PARTY,House,Challenger,N,Democrat,steve  hill,,,,,,
2301,H2TX05246,"HILL, TARTISHA A MRS.",TX,5,DEMOCRATIC PARTY,House,Challenger,P,Democrat,tartisha  hill,,TartishaHill,1471594836423761922,,,
2302,H2TX05246,"HILL, TARTISHA A MRS.",TX,5,DEMOCRATIC PARTY,House,Challenger,P,Democrat,tartisha  hill,,TartishaH,341165983,,,
2303,H2TX30152,"HILL, VONCIEL JONES",TX,30,DEMOCRATIC PARTY,House,Open seat,P,Democrat,vonciel  hill,,,,,,
2304,H8MI04101,"HILLIARD, JEROME C",MI,2,DEMOCRATIC PARTY,House,Challenger,C,Democrat,jerome  hilliard,,,,,,
2305,H8CT04172,"HIMES, JIM",CT,4,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,jim  himes,H001047,jahimes,31611298,,,
2307,H2NC05157,"HINES, ROBERT NICHOLAS",NC,13,REPUBLICAN PARTY,House,Challenger,C,Republican,robert  hines,,BoHines,523276626,,,
2308,H2NJ02235,"HITCHNER, SCOTT JR",NJ,2,REPUBLICAN PARTY,House,Challenger,N,Republican,scott  hitchner,,,,,,
2309,H2FL09178,"HITES, BECKY E",FL,9,REPUBLICAN PARTY,House,Challenger,N,Republican,becky  hites,,,,,,
2310,H2MI05168,"HOBSON, ETHAN C MR.",MI,5,U.S. TAXPAYERS PARTY,House,Challenger,N,Other,ethan  hobson,,,,,,
2312,H2AZ06221,"HODGE, JEVIN D",AZ,1,DEMOCRATIC PARTY,House,Challenger,P,Democrat,jevin  hodge,,JevinHodge,825766521511088128,,,
2314,H2AR01113,"HODGES, MONTE",AR,1,DEMOCRATIC PARTY,House,Challenger,P,Democrat,monte  hodges,,MonteforAR,1478463836525146122,,,
2315,H2AR01113,"HODGES, MONTE",AR,1,DEMOCRATIC PARTY,House,Challenger,P,Democrat,monte  hodges,,hodgesmonte1,841755599268392962,No tweets found.,,
2316,H2PA03160,"HOEPPNER, CHRISTOPHER",PA,3,OTHER,House,Challenger,N,Other,christopher  hoeppner,,,,,,
2317,H6WI08171,"HOFFMAN, RALPH",WI,8,WRITE-IN,House,Challenger,N,Other,ralph  hoffman,,,,,,
2318,H0MD05241,"HOFFMAN, VANESSA",MD,5,REPUBLICAN PARTY,House,Challenger,N,Republican,vanessa  hoffman,,,,,,
2319,H2TX38072,"HOGAN, LEMUEL DAVID",TX,38,REPUBLICAN PARTY,House,Open seat,P,Republican,lemuel  hogan,,,,,,
2321,H2LA03121,"HOGGATT, ""HOLDEN""",LA,3,REPUBLICAN PARTY,House,Challenger,P,Republican,holden  hoggatt,,holden_hoggatt,1499765057844092939,,,
2322,H2LA03121,"HOGGATT, ""HOLDEN""",LA,3,REPUBLICAN PARTY,House,Challenger,P,Republican,holden  hoggatt,,HoldenHoggatt,1025765747006627841,,,
2323,H0KS03269,"HOHE, STEVEN",KS,3,LIBERTARIAN PARTY,House,Challenger,N,Other,steven  hohe,,stevehoheks,,No tweets found.,Name not found.,
2325,H2TX28131,"HOHMAN, ERIC",TX,28,REPUBLICAN PARTY,House,Challenger,C,Republican,eric  hohman,,,,,,
2327,H2NY24127,"HOLDEN, STEVEN WESLEY SR.",NY,24,DEMOCRATIC PARTY,House,Challenger,P,Democrat,steven  holden,,believein_steve,,No tweets found.,Name not found.,
2328,H4IA03149,"HOLDER, BRYAN JACK",IA,4,OTHER,House,Challenger,N,Other,bryan  holder,,,,,,
2329,H2NC13110,"HOLDING, GEORGE E MR.",NC,2,REPUBLICAN PARTY,House,,N,Republican,george  holding,H001065,,,,,
2330,H2FL10291,"HOLIC, JASON KYLE",FL,10,NONE,House,Open seat,C,Other,jason  holic,,HolicCongress,1378192311151165441,,,
2331,H2FL10291,"HOLIC, JASON KYLE",FL,10,NONE,House,Open seat,C,Other,jason  holic,,jholic,20217655,,,
2333,H6IN06024,"HOLLAND, GEORGE THOMAS",IN,6,DEMOCRATIC PARTY,House,Challenger,N,Democrat,george  holland,,,,,,
2334,H2MI13246,"HOLLIER, ADAM",MI,13,DEMOCRATIC PARTY,House,Challenger,P,Democrat,adam  hollier,,adamant4detroit,255596322,No tweets found.,,
2336,H2MI13246,"HOLLIER, ADAM",MI,13,DEMOCRATIC PARTY,House,Challenger,P,Democrat,adam  hollier,,Adamant4Detroit,255596322,,,
2337,H6IN09176,"HOLLINGSWORTH, TREY",IN,9,REPUBLICAN PARTY,House,Incumbent,P,Republican,trey  hollingsworth,H001074,,,,,
2339,H2PA11114,"HOLLISTER, ROBERT MICHAEL III",PA,11,DEMOCRATIC PARTY,House,Challenger,P,Democrat,robert  hollister,,Hollister4PA,1490722763912495107,,,
2341,H6FL05193,"HOLLOWAY, LASHONDA J",FL,4,DEMOCRATIC PARTY,House,Challenger,P,Democrat,lashonda  holloway,,LJHolloway,24810622,No tweets found.,,
2342,H6FL05193,"HOLLOWAY, LASHONDA J",FL,4,DEMOCRATIC PARTY,House,Challenger,P,Democrat,lashonda  holloway,,LJ4Congress,3926697793,No tweets found.,,
2344,H2CA53020,"HOLMAN LEAK, BARRETT",CA,51,DEMOCRATIC PARTY,House,Challenger,N,Democrat,barrett  leak,,HolmanLeak,1375703742843002881,,,
2345,H2MI78017,"HOLMES, FRANK MR",MI,78,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,frank  holmes,,,,,,
2346,H2MD04240,"HOLMES, GREGORY",MD,4,DEMOCRATIC PARTY,House,Challenger,N,Democrat,gregory  holmes,,,,,,
2347,H2AZ08169,"HOLMES, JAMES THOMAS",AZ,8,DEMOCRATIC PARTY,House,Challenger,N,Democrat,james  holmes,,,,,,
2349,H2FL20159,"HOLNESS, DALE V.C. MR.",FL,20,DEMOCRATIC PARTY,House,Challenger,N,Democrat,dale  holness,,HolnessD9,2174716578,,,
2351,H2NY10316,"HOLTZMAN, ELIZABETH",NY,10,DEMOCRATIC PARTY,House,Challenger,P,Democrat,elizabeth  holtzman,,RepHoltzman,1349475300317536259,,,
2353,H2FL22205,"HOLZHAUER, HAVA",FL,23,DEMOCRATIC PARTY,House,Challenger,P,Democrat,hava  holzhauer,,HavaHolzhauer,3960266392,No tweets found.,,
2354,H2NC11247,"HONEYCUTT, RODNEY HOMER",NC,11,REPUBLICAN PARTY,House,Challenger,C,Republican,rodney  honeycutt,,,,,,
2355,H2TN04274,"HOOD, GERALD W. MR III",TN,4,REPUBLICAN PARTY,House,Challenger,N,Republican,gerald  hood,,,,,,
2356,H2MS04290,"HOOK, LOUIS CHARLES DR.",MS,4,REPUBLICAN PARTY,House,Challenger,N,Republican,louis  hook,,,,,,
2358,H2MI12198,"HOOPER, JAMES D",MI,12,REPUBLICAN PARTY,House,Challenger,N,Republican,james  hooper,,WeRAmericans1st,1541934361188212742,,,
2359,H2TN07210,"HOOPER, STEVEN J.",TN,7,INDEPENDENT,House,Challenger,N,Other,steven  hooper,,,,,,
2360,H0OK02244,"HOPKINS, RHONDA",OK,2,REPUBLICAN PARTY,House,Open seat,N,Republican,rhonda  hopkins,,,,,,
2361,H2OR04178,"HOPPE, GARRETT",OR,4,REPUBLICAN PARTY,House,Open seat,N,Republican,garrett  hoppe,,,,,,
2362,H2IL16149,"HORGES, BRADLEY LAMAR MR. JR.",IL,16,WRITE-IN,House,Open seat,N,Other,bradley  horges,,,,,,
2364,H2IN08185,"HORNING, ANDREW",IN,8,LIBERTARIAN PARTY,House,Challenger,N,Other,andrew  horning,,HorningCongress,,No tweets found.,Name not found.,
2366,H2IN07088,"HORNING, ANDREW M.",IN,8,LIBERTARIAN PARTY,House,Challenger,N,Other,andrew  horning,,HorningCongress,,No tweets found.,Name not found.,
2367,H2NV04011,"HORSFORD, STEVEN ALEXZANDER",NV,4,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,steven  horsford,H001066,StevenHorsford,246478393,,,
2368,H2NV04011,"HORSFORD, STEVEN ALEXZANDER",NV,4,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,steven  horsford,H001066,RepHorsford,389840566,,,
2369,H2CA52147,"HOSANNA, JUDAH",CA,52,REPUBLICAN PARTY,House,Challenger,N,Republican,judah  hosanna,,,,,,
2370,H2FL13238,"HOTCHKISS, CHRISTIAN DAVID",FL,13,DEMOCRATIC PARTY,House,Open seat,N,Democrat,christian  hotchkiss,,,,,,
2371,H6IN09143,"HOUCHIN, ERIN",IN,9,REPUBLICAN PARTY,House,Incumbent,C,Republican,erin  houchin,H001093,RepHouchin,1603694348725526528,No tweets found.,,
2372,H6IN09143,"HOUCHIN, ERIN",IN,9,REPUBLICAN PARTY,House,Incumbent,C,Republican,erin  houchin,H001093,Erin_Houchin,2327983291,,,
2373,H8PA06087,"HOULAHAN, CHRISSY",PA,6,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,chrissy  houlahan,H001085,RepHoulahan,1052896620797460481,,,
2375,H8PA06087,"HOULAHAN, CHRISSY",PA,6,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,chrissy  houlahan,H001085,HoulahanForPa,847098017274613761,,,
2376,H2CA50174,"HOULAHAN, STEPHEN WILLIAM",CA,48,DEMOCRATIC PARTY,House,Challenger,P,Democrat,stephen  houlahan,,electhoulahan,1352703942107381760,,,
2377,H2CA50174,"HOULAHAN, STEPHEN WILLIAM",CA,48,DEMOCRATIC PARTY,House,Challenger,P,Democrat,stephen  houlahan,,SteveHoulahanRN,28732069,No tweets found.,,
2379,H2WV01144,"HOUSER, JAMES EDWIN",WV,1,REPUBLICAN PARTY,House,Challenger,N,Republican,james  houser,,,,,,
2380,H2TX22159,"HOWARD, EUGENE",TX,22,DEMOCRATIC PARTY,House,Challenger,N,Democrat,eugene  howard,,,,,,
2381,H8OR04084,"HOWARD, JAMES MILO",OR,4,CONSTITUTION PARTY,House,Open seat,N,Other,james  howard,,,,,,
2382,H2GA09242,"HOWARD, JON GREGORY",GA,9,REPUBLICAN PARTY,House,Challenger,P,Republican,jon  howard,,,,,,
2383,H2MO06244,"HOWARD, MICHAEL",MO,6,DEMOCRATIC PARTY,House,Challenger,N,Democrat,michael  howard,,,,,,
2384,H2SD01041,"HOWARD, TAFFY",SD,0,REPUBLICAN PARTY,House,Challenger,C,Republican,taffy  howard,,taffy_howard,1481671068611977217,,,
2386,H2AK00366,"HOWE, JOHN WAYNE",AK,0,OTHER,House,Open seat,N,Other,john  howe,,,,,,
2387,H2NY14102,"HOWE, JONATHAN MR.",NY,14,LIBERTARIAN PARTY,House,Challenger,N,Other,jonathan  howe,,,,,,
2388,H2MD05155,"HOYER, STENY",MD,5,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,steny  hoyer,H000874,RepStenyHoyer,22012091,,,
2389,H2MD05155,"HOYER, STENY",MD,5,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,steny  hoyer,H000874,StenyHoyer,266719387,,,
2390,H2MD05155,"HOYER, STENY",MD,5,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,steny  hoyer,H000874,LeaderHoyer,,No tweets found.,Name not found.,
2391,H2OR04095,"HOYLE, VALERIE",OR,4,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,valerie  hoyle,H001094,ValHoyle,118612783,,,
2392,H2OR04095,"HOYLE, VALERIE",OR,4,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,valerie  hoyle,H001094,repvalhoyle,1612865196489412608,No tweets found.,,
2393,H2OR04095,"HOYLE, VALERIE",OR,4,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,valerie  hoyle,H001094,RepValHoyle,1612865196489412608,No tweets found.,,
2394,H2NY10233,"HOYLMAN, BRAD",NY,10,DEMOCRATIC PARTY,House,Challenger,N,Democrat,brad  hoylman,,,,,,
2395,H2CT01205,"HREZI, MUAD",CT,1,DEMOCRATIC PARTY,House,Challenger,P,Democrat,muad  hrezi,,,,,,
2396,H8VA02087,"HUBBARD, GARRY",VA,2,GREEN PARTY,House,Challenger,N,Other,garry  hubbard,,,,,,
2397,H2CA22165,"HUBBARD, LOURIN",CA,22,DEMOCRATIC PARTY,House,Challenger,P,Democrat,lourin  hubbard,,LourinHubbard,1357061886286602240,,,
2399,H2IN02337,"HUBBARD, MIKE",IN,2,WRITE-IN,House,Challenger,N,Other,mike  hubbard,,,,,,
2400,H2TN43017,"HUBBARD, STEVEN ERICH MR.",TN,4,INDEPENDENT,House,Challenger,N,Other,steven  hubbard,,,,,,
2401,H4OR02228,"HUBER, RAIPH R",OR,2,REPUBLICAN PARTY,House,Challenger,N,Republican,raiph  huber,,,,,,
2402,H2TX18181,"HUCKABEE, SCOTT",TX,36,REPUBLICAN PARTY,House,Challenger,N,Republican,scott  huckabee,,,,,,
2403,H2MS04241,"HUDSON, JESSE GRAHAM",MS,4,INDEPENDENT,House,Challenger,N,Other,jesse  hudson,,,,,,
2404,H2NC08185,"HUDSON, RICHARD L. JR.",NC,9,REPUBLICAN PARTY,House,Incumbent,N,Republican,richard  hudson,H001067,RepHudsonNC,16874915,,,
2405,H2NC08185,"HUDSON, RICHARD L. JR.",NC,9,REPUBLICAN PARTY,House,Incumbent,N,Republican,richard  hudson,H001067,RepRichHudson,935033864,,,
2406,H2UT04080,"HUEY, NICHOLAS MICHAEL",UT,4,REPUBLICAN PARTY,House,Challenger,C,Republican,nicholas  huey,,,,,,
2407,H2NH01288,"HUFF BROWN, GAIL",NH,1,REPUBLICAN PARTY,House,Challenger,P,Republican,gail  brown,,gailhuffbrown,2295429423,,,
2409,H2FL19110,"HUFF, JIM",FL,19,REPUBLICAN PARTY,House,Challenger,C,Republican,jim  huff,,JimHuff_,1529213716671209473,,,
2411,H2LA05274,"HUFF, WALTER EARL",LA,5,DEMOCRATIC PARTY,House,Challenger,N,Democrat,walter  huff,,,,,,
2412,H2NC12260,"HUFFMAN, ANDREW",NC,12,REPUBLICAN PARTY,House,Challenger,N,Republican,andrew  huffman,,,,,,
2413,H2NE01191,"HUFFMAN, CURTIS D",NE,1,REPUBLICAN PARTY,House,Challenger,N,Republican,curtis  huffman,,,,,,
2414,H2CA06259,"HUFFMAN, JARED",CA,2,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,jared  huffman,H001068,JaredHuffman,334894942,,,
2415,H2CA06259,"HUFFMAN, JARED",CA,2,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,jared  huffman,H001068,RepHuffman,1071102246,,,
2416,H8NC08109,"HUFFMAN, SCOTT",NC,8,DEMOCRATIC PARTY,House,Open seat,P,Democrat,scott  huffman,,HuffmanForNC,941754604118831105,,,
2418,H2TN92014,"HUGHES, ANGELA M",TN,92,DEMOCRATIC PARTY,House,Challenger,N,Democrat,angela  hughes,,,,,,
2419,H0IL03133,"HUGHES, CHARLES M",IL,6,DEMOCRATIC PARTY,House,Challenger,N,Democrat,charles  hughes,,,,,,
2420,H2AK01125,"HUGHES, DAVID M",AK,0,INDEPENDENT,House,Open seat,N,Other,david  hughes,,,,,,
2421,H0MI02094,"HUIZENGA, WILLIAM P",MI,4,REPUBLICAN PARTY,House,Incumbent,N,Republican,william  huizenga,H001058,billhuizenga,23820360,,,
2422,H0MI02094,"HUIZENGA, WILLIAM P",MI,4,REPUBLICAN PARTY,House,Incumbent,N,Republican,william  huizenga,H001058,RepHuizenga,233949261,,,
2424,H2TX08133,"HULLIHAN, JONATHAN KEITH",TX,8,REPUBLICAN PARTY,House,Open seat,C,Republican,jonathan  hullihan,,jhullihantx,1382392388555927553,No tweets found.,,
2425,H2CO08087,"HUMPHREY, JOHNNY",CO,8,DEMOCRATIC PARTY,House,Open seat,C,Democrat,johnny  humphrey,,,,,,
2427,H2SC05102,"HUNDLEY, EVANGELINE",SC,5,DEMOCRATIC PARTY,House,Challenger,N,Democrat,evangeline  hundley,,district5eva,1516486074910007296,,,
2429,H2UT04072,"HUNSAKER, JAKE",UT,4,REPUBLICAN PARTY,House,Challenger,P,Republican,jake  hunsaker,,JakeHunsaker,384918040,,,
2430,H2PA03129,"HUNT, ALEXANDRA",PA,3,DEMOCRATIC PARTY,House,Challenger,C,Democrat,alexandra  hunt,,,,,,
2431,H2GA02189,"HUNT, JEREMY",GA,2,REPUBLICAN PARTY,House,Challenger,P,Republican,jeremy  hunt,,thejeremyhunt,440497429,,,
2433,H2TX12085,"HUNT, TREY JOSEPH",TX,12,DEMOCRATIC PARTY,House,Challenger,P,Democrat,trey  hunt,,VoteHunt2022,1330761111281561601,,,
2435,H0TX07170,"HUNT, WESLEY",TX,38,REPUBLICAN PARTY,House,Incumbent,C,Republican,wesley  hunt,H001095,,,,,
2436,H2NY02115,"HUQ, MD MUZIBUL DR MD",NY,4,DEMOCRATIC PARTY,House,Challenger,P,Democrat,md  huq,,MuzibulDr,1346194411915505666,,,
2438,H2WI03106,"HURLESS, DENISE LYNN RN",WI,3,REPUBLICAN PARTY,House,Open seat,N,Republican,denise  hurless,,,,,,
2439,H8NV02129,"HURLEY, JESSE DOUGLAS",NV,2,REPUBLICAN PARTY,House,Challenger,N,Republican,jesse  hurley,,,,,,
2440,H2TX31176,"HUTSON, JASON WAYNE",TX,31,REPUBLICAN PARTY,House,Challenger,P,Republican,jason  hutson,,,,,,
2441,H2IL05209,"HUYNH, KHAI-HOAN DAC",IL,5,DEMOCRATIC PARTY,House,Challenger,C,Democrat,khaihoan  huynh,,,,,,
2442,H2FL16108,"HYDE, MARTIN",FL,16,REPUBLICAN PARTY,House,Challenger,P,Republican,martin  hyde,,,,,,
2443,H2NJ03241,"HYLAND, SHAWN",NJ,3,REPUBLICAN PARTY,House,Challenger,C,Republican,shawn  hyland,,,,,,
2444,H2OR06082,"HYLLAND, BRIAN GENE JR",OR,6,DEMOCRATIC PARTY,House,Open seat,N,Democrat,brian  hylland,,,,,,
2445,H2NV03211,"HYNES, RANDELL SCOTT",NV,3,DEMOCRATIC PARTY,House,Challenger,N,Democrat,randell  hynes,,randellhynes,798646050,No tweets found.,,
2446,H2NV03211,"HYNES, RANDELL SCOTT",NV,3,DEMOCRATIC PARTY,House,Challenger,N,Democrat,randell  hynes,,hynesfornevada,1375109222908694529,No tweets found.,,
2448,H8TX28039,"IDROGO, MICHAEL",TX,35,LIBERTARIAN PARTY,House,Challenger,N,Other,michael  idrogo,,,,,,
2450,H0TX31097,"IMAM, DONNA",TX,37,DEMOCRATIC PARTY,House,Open seat,P,Democrat,donna  imam,,donnaimamTX,807323561924947968,,,
2451,H2CO07162,"IMER, LAUREL ANNE",CO,7,REPUBLICAN PARTY,House,Open seat,C,Republican,laurel  imer,,notsewremi,3522198798,No tweets found.,,
