,date_created,username,verified_status,tweet_id,likes,views,replies,retweets,source,language,retweeted_id,quoted_id,text
269,2020-01-01 12:43:30+00:00,Adrian_Fontes,True,1212353657104027648,1,,0,0,Twitter for iPhone,en,,https://twitter.com/PHXRisingFC/status/1212267209868894208,"More @PHXRisingFC !!
Can we top 2019?!? I’m betting that it will be a heck of a run trying!!
#Rising2020"
270,2020-01-01 12:41:51+00:00,Adrian_Fontes,True,1212353240311795712,3,,0,0,Twitter for iPhone,en,,,"@SJDoerr @PHXRisingFC The way @AZSports celebrates great performances tells me never to go to one of their happy hours.
#lame"
271,2020-01-01 12:38:59+00:00,Adrian_Fontes,True,1212352517771677696,1,,0,0,Twitter for iPhone,en,,https://twitter.com/AZSports/status/1212236507110526977,"Super lame to leave THE greatest performance of the year off your list.
Do better.
@PHXRisingFC"
272,2020-01-01 12:23:20+00:00,Adrian_Fontes,True,1212348580494626816,1,,0,0,Twitter for iPhone,en,,https://twitter.com/AmberMcReynolds/status/1212347660520148993,"I can’t wait to watch this today!!
Go @AmberMcReynolds !!!
#ProtectDemocracy"
273,2020-01-01 01:45:51+00:00,Adrian_Fontes,True,1212188150702850048,2,,0,0,Twitter for iPhone,en,,https://twitter.com/PHXRisingFC/status/1212101117196296192,"The super sentimental tweets from this club are well warranted.
Catch a game next season! Support this amazing franchise!"
274,2020-01-01 01:37:10+00:00,Adrian_Fontes,True,1212185968653979649,50,,2,4,Twitter for iPhone,en,,,"I’m up to 3,410 followers because both of my teenage neighbors just decided to get onboard.
And the 18yo is registered but didn’t get on the perm early vote list...so we’re fixing that.
Neighbors helping neighbors to #ProtectDemocracy"
275,2020-01-01 01:23:52+00:00,Adrian_Fontes,True,1212182618034229248,5,,1,0,Twitter for iPhone,en,,https://twitter.com/BandidosPHX/status/1212165186460585984,I love these guys...
276,2020-01-01 05:05:13+00:00,BrookeELierman,True,1212238326171914240,20,,0,1,Hootsuite Inc.,en,,,Happy New Year and New Decade! https://t.co/stesvio6k1
277,2020-01-01 20:50:09+00:00,ERICSORENSEN,True,1212476124816695296,0,,0,0,Twitter for iPhone,und,,,@AustinMacD73 Ehhhhhh
278,2020-01-01 19:19:39+00:00,ERICSORENSEN,True,1212453350068965376,33,,12,4,Twitter for iPhone,en,,,"I’m not coming back on social media until everyone’s done with the Barbara Walters stuff. 

She’s got dementia and hasn’t been seen publicly in a few years. We should be thinking of her health and well-being."
279,2020-01-01 06:55:55+00:00,ERICSORENSEN,True,1212266181618552837,1,,1,0,Twitter for iPhone,en,,,@proughwx @CurtisParkview @ABC21WPTA @KaitlynReports That is not you.
280,2020-01-01 06:55:36+00:00,ERICSORENSEN,True,1212266104405610496,2,,1,0,Twitter for iPhone,en,,,@blaisekellerr That is not you.
281,2020-01-01 06:27:07+00:00,ERICSORENSEN,True,1212258935190773760,1,,1,0,Twitter for iPhone,en,,,"@DaveHerrell Dave, you belong in QC Hall of Fame! Here’s to a great new decade. Glad you’re here!"
282,2020-01-01 04:26:04+00:00,ERICSORENSEN,True,1212228470098583553,48,,2,2,Twitter for iPhone,en,,,"My last tweet of the decade? 

Boobytrap backwards is partyboob."
283,2020-01-01 16:09:03+00:00,COSecofState,True,1212405383328927747,3,,0,1,Sprout Social,en,,,"Happy New Year!  Just a reminder our offices are closed today but all of our services remain available online: https://t.co/lVkJQnzttf.  We'll be back open on Thursday, January 2. https://t.co/VPL9wWsFDc"
284,2020-01-01 23:11:59+00:00,PatRyanUC,True,1212511819471962112,9,,0,1,Twitter for iPhone,en,,,"An inspiring start to #2020 - witnessing two phenomenal public servants take their oaths of office. Huge congrats to @marchgallagher and @onekingston...look forward to rolling up our sleeves and getting to work together!!

And big thanks to @NYSComptroller for joining &amp; speaking! https://t.co/mxyZKgjTpk"
285,2020-01-01 23:43:26+00:00,ANTHONYDESPO,True,1212519732664061952,19,,4,7,Twitter Web App,en,,,"“Anyone who agrees that this law will endanger public safety &amp; the victims &amp; witnesses of crime should let @NYGovCuomo &amp; @NYSenDems &amp; @NYSA_Majority know before it’s too late &amp; innocent people get hurt,” @StatenIslandDA.  Welcome to 2020 - year of the perp
https://t.co/ObzBOs5c31"
286,2020-01-01 18:50:30+00:00,ANTHONYDESPO,True,1212446013153263616,7,,0,2,Twitter Web App,en,,,"Once again teaming up w/ my family in blue to host @leoweekend event on 2/29 at Junction LBNY.

@leoweekend work throughout the year to support families affected by a line of duty death or serious injury &amp; are front and center whenever #lawenforcement needs help.  

Come on down! https://t.co/XSXg5KmLkI"
287,2020-01-01 17:51:04+00:00,ANTHONYDESPO,True,1212431057926184962,10,,0,2,Twitter Web App,en,,,"#HappyNewYear!

@HempsteadTown Sanitation schedules will be going out soon, but you can use these to print and keep on the fridge.

Also, check out dates for our S.T.O.P. program &amp; thx @CSEALocal880! https://t.co/5QJhJvMcSF"
288,2020-01-01 16:23:44+00:00,ANTHONYDESPO,True,1212409080624623621,12,,0,4,Twitter Web App,en,,,"Message is simple: this isn't a Jewish issue, a Catholic issue, a black/white issue, a hispanic/asian issue - this is an American issue. Stood w/@TOHClavin @dorothylgoosby @MissyMillerNY20 &amp; @HempsteadTown religious leaders, together to fight hate/bigotry &amp; decry recent attacks https://t.co/0oFRdqxhAh"
289,2020-01-01 00:29:24+00:00,ANTHONYDESPO,True,1212168911971635202,10,,0,3,Twitter for iPhone,en,,,Official: 'We will not tolerate' hate crimes Hempstead Town Supervisor-elect Donald X. Clavin Jr. spoke Tuesday at the Yeshiva of South Shore in Hewlett to denounce the ... https://t.co/KvUAd07cMe
290,2020-01-01 19:26:21+00:00,KevinKileyCA,True,1212455035000352768,3,,0,1,Twitter Web App,en,,,"The Chief Justice is right that “civic education has fallen by the wayside.” I’ve introduced legislation to enhance civics education in CA high schools and colleges.

https://t.co/Iy2lpHCopi"
291,2020-01-01 18:56:23+00:00,KevinKileyCA,True,1212447496040898561,17,,0,8,Twitter Web App,en,,https://twitter.com/TerenceHyland/status/1212365931734818816,"Notably, the judge’s order found that enforcing #AB5 would cause irreparable harm, and that blocking it is in the public interest."
